
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4
	6-15-1989	6-22-1989	7.311	0.220	1.458	4.858	0.236	0.1349	#N/A	0.0170
	6-22-1989	6-29-1989	18.469	0.078	1.750	12.099	-1.296	0.1082	#N/A	-0.0032
	6-29-1989	7-6-1989	18.218	0.273	2.823	10.923	0.074	0.3722	#N/A	0.1324
	7-6-1989	7-13-1989	8.862	0.052	1.779	5.117	0.492	0.1279	#N/A	0.0774
	7-13-1989	7-20-1989	11.392	0.173	2.605	6.971	0.851	0.1444	#N/A	0.1859
	7-20-1989	7-27-1989	11.131	0.225	2.562	6.596	0.902	0.1228	#N/A	0.4425
	7-27-1989	8-3-1989	4.138	0.256	1.713	2.623	1.053	0.2656	#N/A	0.2543
	8-3-1989	8-10-1989	15.156	0.146	0.966	9.649	-1.463	0.1152	#N/A	0.0294
	8-10-1989	8-17-1989	36.135	0.194	4.593	22.944	-1.182	0.2340	#N/A	-0.0582
	8-17-1989	8-24-1989	12.016	0.119	1.798	7.310	-0.042	0.0831	#N/A	0.0944
	8-24-1989	8-31-1989	25.414	0.134	3.100	15.896	-0.901	0.0591	#N/A	0.1107
	8-31-1989	9-7-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-7-1989	9-14-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-14-1989	9-21-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-21-1989	9-28-1989	23.375	0.265	3.893	14.529	0.236	0.0318	#N/A	0.0972
	9-28-1989	10-5-1989	32.588	0.264	5.091	19.949	0.070	0.0187	#N/A	0.1169
	10-5-1989	10-12-1989	40.799	0.201	6.461	23.832	0.462	0.0206	#N/A	0.0810
	10-12-1989	10-19-1989	36.865	0.243	6.302	21.725	0.834	0.0130	#N/A	0.1436
	10-19-1989	10-26-1989	42.698	0.096	6.685	25.437	0.283	0.0104	#N/A	0.0268
	10-26-1989	11-2-1989	46.377	0.234	8.058	29.269	0.691	0.0107	#N/A	0.3239
	11-2-1989	11-9-1989	51.440	0.070	7.940	27.901	0.917	0.0043	#N/A	0.0765
	11-9-1989	11-16-1989	53.801	0.109	8.075	30.319	0.444	0.0084	#N/A	0.0889
	11-16-1989	11-23-1989	44.236	0.163	7.505	24.836	1.254	0.0032	#N/A	0.1330
	11-23-1989	11-30-1989	44.238	0.105	6.856	24.822	0.609	0.0043	#N/A	0.0842
	11-30-1989	12-7-1989	48.264	0.121	7.310	28.281	0.192	0.0029	#N/A	0.0337
	12-7-1989	12-14-1989	54.579	#N/A	7.910	32.285	-0.216	0.0011	#N/A	-0.0140
	12-14-1989	12-21-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-21-1989	12-28-1989	7.977	0.083	2.071	4.652	0.900	0.0013	#N/A	0.1337
	12-28-1989	1-4-1990	53.356	#N/A	8.123	32.226	0.012	0.0023	#N/A	0.0317
	1-4-1990	1-11-1990	65.436	0.035	9.528	36.579	0.321	#N/A	#N/A	-0.0287
	1-11-1990	1-18-1990	99.396	#N/A	15.285	55.944	1.204	#N/A	#N/A	-0.0281
	1-18-1990	1-25-1990	27.038	0.036	3.898	15.192	0.074	#N/A	#N/A	-0.0595
	1-27-1990	2-2-1990	18.241	0.018	2.735	9.984	0.222	#N/A	#N/A	-0.0241
	2-2-1990	2-12-1990	56.503	0.052	8.925	31.433	1.014	#N/A	#N/A	0.0328
	2-12-1990	2-15-1990	50.755	0.231	8.820	29.037	1.511	#N/A	#N/A	0.1967
	2-15-1990	2-22-1990	50.168	0.047	8.857	28.784	1.612	#N/A	#N/A	0.0996
	2-22-1990	3-1-1990	37.399	0.097	6.392	24.564	0.209	#N/A	#N/A	0.0750
	3-1-1990	3-8-1990	46.690	0.158	7.931	26.098	1.362	#N/A	#N/A	0.0741
	3-8-1990	3-15-1990	57.140	0.157	9.438	33.365	1.040	#N/A	#N/A	0.0405
	3-15-1990	3-22-1990	44.303	0.098	7.312	25.310	0.941	#N/A	#N/A	0.1088
	3-22-1990	3-29-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-29-1990	4-5-1990	13.089	0.224	3.320	7.459	1.442	#N/A	#N/A	0.2220
	4-5-1990	4-12-1990	58.558	0.591	10.285	32.420	2.125	#N/A	#N/A	0.3405
	4-12-1990	4-19-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-19-1990	4-26-1990	17.731	0.599	6.274	10.274	3.688	#N/A	#N/A	0.3345
	4-26-1990	5-3-1990	16.659	0.725	5.438	9.527	3.040	#N/A	#N/A	0.4123
	5-3-1990	5-10-1990	52.232	0.430	9.233	41.487	-1.210	#N/A	#N/A	-0.0325
	5-10-1990	5-17-1990	26.973	0.014	3.617	15.243	-0.220	#N/A	#N/A	-0.0135
	5-17-1990	5-24-1990	25.161	0.332	4.578	14.868	0.836	0.0631	#N/A	0.1118
	5-24-1990	5-31-1990	26.618	0.128	4.406	15.271	0.562	0.1566	#N/A	0.1379
	5-31-1990	6-7-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-7-1990	6-14-1990	11.027	0.277	2.745	6.652	1.070	0.1763	#N/A	0.1683
	6-14-1990	6-21-1990	6.194	0.182	1.488	3.582	0.587	0.0852	#N/A	0.1254
	6-21-1990	6-28-1990	13.713	0.154	2.588	7.929	0.592	0.1158	#N/A	0.1658
	6-28-1990	7-5-1990	12.605	0.181	2.286	6.829	0.567	0.1336	#N/A	0.1191
	7-5-1990	7-13-1990	10.549	0.226	2.134	6.613	0.470	0.1029	#N/A	0.1401
	7-13-1990	7-19-1990	13.761	0.137	2.264	8.183	0.204	0.2712	#N/A	0.3048
	7-19-1990	7-26-1990	9.455	0.112	2.115	6.191	0.557	0.4018	#N/A	0.1935
	7-26-1990	8-2-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-2-1990	8-9-1990	18.145	0.033	2.212	10.785	-0.502	0.0402	#N/A	-0.0215
	8-9-1990	8-16-1990	25.290	0.209	4.160	14.837	0.426	0.0835	#N/A	0.1084
	8-16-1990	8-23-1990	22.033	0.210	3.641	12.805	0.418	0.0770	#N/A	0.1204
	8-23-1990	8-29-1990	14.235	0.293	3.055	8.299	0.966	0.0799	#N/A	0.1739
	8-30-1990	9-6-1990	37.809	0.191	5.427	21.478	0.021	0.0730	#N/A	0.0198
	9-6-1990	9-13-1990	10.231	0.488	2.379	5.963	0.878	0.0520	#N/A	0.3000
	9-13-1990	9-20-1990	9.698	0.231	1.713	5.567	0.312	0.0361	#N/A	0.1477
	9-20-1990	9-27-1990	24.214	0.103	3.625	13.304	0.276	0.0100	#N/A	0.1294
	9-27-1990	10-4-1990	24.353	0.328	4.219	15.185	0.397	0.0221	#N/A	0.2126
	10-4-1990	10-11-1990	33.671	0.287	6.126	27.834	-0.880	0.0124	#N/A	0.0872
	10-11-1990	10-18-1990	42.906	0.167	6.405	18.904	1.647	0.0110	#N/A	0.2640
	10-18-1990	10-25-1990	84.631	0.106	11.550	56.386	-2.642	0.0067	#N/A	0.1655
	10-25-1990	11-1-1990	35.901	0.085	5.617	21.297	0.257	0.0030	#N/A	0.0256
	11-1-1990	11-8-1990	15.291	0.255	2.961	9.094	0.672	0.0063	#N/A	0.1287
	11-8-1990	11-15-1990	40.499	0.214	6.055	23.467	0.149	0.0041	#N/A	0.0548
	11-15-1990	11-22-1990	97.139	0.097	13.187	55.824	-0.863	0.0023	#N/A	-0.0066
	11-22-1990	11-29-1990	124.873	0.024	16.484	75.353	-2.482	0.0060	#N/A	0.0575
	11-29-1990	12-6-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-6-1990	12-15-1990	100.705	0.196	14.895	57.355	0.458	0.0043	#N/A	0.2237
	12-15-1990	12-21-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-22-1990	12-27-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-27-1990	1-3-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-3-1991	1-10-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-10-1991	1-17-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-17-1991	1-24-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-24-1991	1-31-1991	71.612	0.160	10.032	41.364	-0.379	0.0028	#N/A	0.2084
	1-31-1991	2-7-1991	11.799	0.057	3.219	6.921	1.477	0.0010	#N/A	0.3244
	2-7-1991	2-14-1991	7.209	0.099	2.657	4.282	1.580	0.0014	#N/A	0.2166
	2-14-1991	2-21-1991	119.163	0.083	17.703	67.272	0.771	0.0118	#N/A	-0.0194
	2-21-1991	2-28-1991	26.416	0.084	4.079	14.665	0.388	0.0007	#N/A	0.0704
	2-28-1991	3-7-1991	56.255	0.188	8.958	34.965	0.157	0.0033	#N/A	0.0983
	3-7-1991	3-14-1991	149.316	0.128	22.515	108.192	-4.717	0.0052	#N/A	0.0698
	3-14-1991	3-21-1991	66.657	0.146	10.144	37.407	0.728	0.0035	#N/A	0.0086
	3-21-1991	3-28-1991	61.829	0.243	9.757	38.005	0.192	0.0045	#N/A	0.0549
	3-28-1991	4-4-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-4-1991	4-11-1991	16.302	0.141	3.271	9.121	0.975	0.0075	#N/A	0.1392
	4-11-1991	4-18-1991	48.477	0.182	7.633	28.023	0.579	0.0180	#N/A	0.0838
	4-18-1991	4-25-1991	40.348	0.279	6.125	22.988	0.339	0.0164	#N/A	0.0627
	4-25-1991	5-2-1991	2.688	0.191	1.205	1.676	0.783	0.0203	#N/A	0.1840
	5-2-1991	5-9-1991	30.576	0.127	4.422	17.127	0.111	0.0267	#N/A	0.0337
	5-9-1991	5-16-1991	20.261	0.254	3.488	11.265	0.652	0.0567	#N/A	0.1436
	5-16-1991	5-23-1991	42.399	0.293	5.972	24.693	-0.243	0.0859	#N/A	0.1197
	5-23-1991	5-30-1991	31.164	0.332	4.285	17.806	-0.197	0.1211	#N/A	0.1713
	5-30-1991	6-6-1991	15.852	0.385	3.765	9.408	1.397	0.1392	#N/A	0.2064
	6-6-1991	6-13-1991	4.494	0.430	1.894	3.000	1.139	0.2823	#N/A	0.1519
	6-13-1991	6-20-1991	30.682	0.165	3.513	16.984	-0.762	0.1553	#N/A	0.0688
	6-20-1991	6-27-1991	16.870	0.203	2.762	9.257	0.432	0.2519	#N/A	0.3355
	6-27-1991	7-4-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-4-1991	7-11-1991	42.217	0.291	5.613	24.447	-0.540	0.2770	#N/A	0.2294
	7-11-1991	7-18-1991	16.642	0.223	3.018	9.532	0.619	0.3280	#N/A	0.1670
	7-18-1991	7-25-1991	8.072	0.136	1.777	4.729	0.587	0.1499	#N/A	0.1824
	7-25-1991	8-1-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-1-1991	8-8-1991	75.432	0.293	7.508	43.196	-3.365	0.1606	#N/A	0.5201
	8-8-1991	8-15-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-15-1991	8-22-1991	14.565	0.156	2.413	8.532	0.265	0.0997	#N/A	0.1958
	8-22-1991	8-29-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-29-1991	9-5-1991	22.965	0.261	3.754	13.644	0.320	0.0688	#N/A	0.0799
	9-5-1991	9-12-1991	16.757	0.723	3.729	9.448	1.351	0.0563	#N/A	0.9343
	9-12-1991	9-16-1991	18.718	0.153	2.707	10.210	0.137	0.0330	#N/A	0.0842
	9-16-1991	9-17-1991	15.838	0.117	2.263	9.261	-0.068	0.0335	#N/A	0.2500
	9-17-1991	9-18-1991	27.692	0.149	4.513	15.710	0.559	0.0253	#N/A	0.4924
	9-18-1991	9-19-1991	21.493	0.141	3.302	11.819	0.327	0.0338	#N/A	0.3338
	9-19-1991	9-20-1991	3.178	0.142	0.813	1.882	0.339	0.0433	#N/A	0.2305
	9-20-1991	9-21-1991	4.661	0.063	0.973	2.733	0.286	0.0219	#N/A	0.5470
	9-21-1991	9-22-1991	8.636	0.103	1.403	4.464	0.280	0.0158	#N/A	0.1873
	9-22-1991	9-23-1991	34.825	0.248	5.451	19.689	0.495	0.0142	#N/A	0.4593
	9-23-1991	9-24-1991	40.826	0.329	6.506	21.525	1.088	0.0398	#N/A	0.4006
	9-24-1991	9-25-1991	13.159	0.440	2.933	7.405	1.069	0.0429	#N/A	0.4699
	9-25-1991	9-26-1991	17.867	0.346	3.864	9.611	1.445	0.0699	#N/A	0.3140
	9-26-1991	9-27-1991	23.623	0.195	4.047	14.228	0.466	0.0262	#N/A	0.2845
	9-27-1991	9-28-1991	14.164	0.173	2.437	7.754	0.486	0.0349	#N/A	0.2524
	9-28-1991	9-29-1991	114.229	0.072	15.589	61.265	0.169	0.0260	#N/A	0.0519
	9-29-1991	9-30-1991	27.868	0.086	3.996	15.628	0.063	0.0165	#N/A	0.0667
	9-30-1991	10-1-1991	20.542	0.073	3.049	11.592	0.131	0.0141	#N/A	0.1771
	10-1-1991	10-2-1991	17.162	0.072	2.596	9.463	0.214	0.0016	#N/A	0.1263
	10-2-1991	10-3-1991	13.458	0.174	2.221	7.572	0.315	0.0146	#N/A	0.2511
	10-3-1991	10-4-1991	11.034	0.291	2.711	6.572	1.057	0.0323	#N/A	0.2175
	10-4-1991	10-5-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-5-1991	10-6-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-6-1991	10-7-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-7-1991	10-8-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-8-1991	10-9-1991	2.155	0.149	0.588	1.266	0.269	0.0203	#N/A	0.2062
	10-9-1991	10-10-1991	5.756	0.358	2.257	3.895	1.276	0.0280	#N/A	0.2290
	10-10-1991	10-11-1991	6.712	0.322	1.823	3.844	0.855	0.0154	#N/A	0.2090
	10-11-1991	10-12-1991	11.589	0.689	2.921	7.482	1.038	0.0284	#N/A	0.4360
	10-12-1991	10-13-1991	29.296	0.584	6.675	18.219	2.089	0.0293	#N/A	0.2798
	10-13-1991	10-14-1991	118.593	0.599	20.515	71.252	2.581	0.0145	#N/A	0.9032
	10-14-1991	10-15-1991	31.725	0.016	4.364	18.546	-0.304	0.0046	#N/A	0.3170
	10-15-1991	10-16-1991	22.742	0.037	3.158	13.240	-0.174	0.0006	#N/A	0.1766
	10-16-1991	10-17-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-17-1991	10-18-1991	10.228	0.092	1.635	6.028	0.118	0.0053	#N/A	0.2746
	10-18-1991	10-19-1991	14.465	0.120	2.327	8.650	0.150	0.0048	#N/A	0.2611
	10-19-1991	10-20-1991	27.841	0.274	4.420	16.641	0.232	0.0146	#N/A	0.3293
	10-20-1991	10-21-1991	48.561	0.533	7.781	28.539	0.597	0.0151	#N/A	0.3157
	10-21-1991	10-22-1991	31.038	0.586	6.074	18.794	1.343	0.0250	#N/A	0.3453
	10-22-1991	10-23-1991	17.915	0.446	3.381	11.233	0.554	0.0109	#N/A	0.5006
	10-23-1991	10-24-1991	39.477	0.189	6.376	23.753	0.397	0.0037	#N/A	0.3341
	10-24-1991	10-25-1991	34.134	0.126	5.123	19.975	0.095	0.0022	#N/A	0.1072
	10-25-1991	10-26-1991	25.471	0.085	3.757	15.327	-0.101	0.0018	#N/A	0.1049
	10-26-1991	10-27-1991	14.005	0.040	2.025	8.297	-0.064	0.0028	#N/A	0.1030
	10-27-1991	10-28-1991	24.016	0.076	3.643	13.949	0.132	0.0019	#N/A	0.1468
	10-28-1991	10-29-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-29-1991	10-30-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-30-1991	10-31-1991	9.520	0.231	1.830	5.652	0.407	0.0097	#N/A	0.1828
	10-31-1991	11-7-1991	14.771	0.110	2.261	9.368	-0.097	0.0042	#N/A	0.0713
	11-7-1991	11-14-1991	20.338	0.109	3.278	12.699	0.082	0.0032	#N/A	0.1226
	11-14-1991	11-21-1991	40.468	0.100	6.417	25.834	-0.085	0.0003	#N/A	0.0808
	11-21-1991	11-28-1991	45.839	0.137	7.217	29.216	-0.136	0.0010	#N/A	0.0729
	11-28-1991	12-5-1991	30.937	0.141	5.001	20.862	-0.250	0.0009	#N/A	0.1206
	12-5-1991	12-12-1991	61.650	0.078	9.621	40.085	-0.468	0.0029	#N/A	0.0119
	12-12-1991	12-19-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-19-1991	12-26-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-26-1991	1-2-1992	69.610	0.068	9.746	44.038	-1.338	0.0013	#N/A	-0.0019
	1-2-1992	1-9-1992	60.302	0.073	8.834	41.176	-1.530	0.0039	#N/A	0.1109
	1-9-1992	1-16-1992	14.018	0.026	2.218	8.963	-0.038	0.0047	#N/A	-0.0090
	1-16-1992	1-23-1992	12.563	0.101	2.735	7.326	0.891	0.0011	#N/A	0.0953
	1-23-1992	1-30-1992	27.637	0.107	4.570	18.178	-0.006	0.0023	#N/A	0.1138
	1-30-1992	2-6-1992	47.226	0.090	7.225	29.765	-0.266	0.0027	#N/A	0.1206
	2-6-1992	2-13-1992	68.737	0.109	9.798	45.219	-1.584	0.0030	#N/A	0.0054
	2-13-1992	2-20-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-20-1992	2-27-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-27-1992	3-5-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-5-1992	3-12-1992	9.632	0.101	2.171	5.498	0.787	0.0022	#N/A	0.1133
	3-12-1992	3-19-1992	15.781	0.074	2.842	8.817	0.622	0.0025	#N/A	0.1096
	3-19-1992	3-26-1992	20.492	0.150	5.442	14.299	1.843	0.0059	#N/A	0.1315
	3-26-1992	4-2-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-2-1992	4-9-1992	67.312	0.444	11.998	44.125	0.892	0.0178	#N/A	0.3597
	4-9-1992	4-16-1992	33.612	0.086	5.622	18.544	0.954	0.0091	#N/A	0.1617
	4-16-1992	4-23-1992	21.609	0.287	4.771	14.223	1.191	0.0392	#N/A	0.1683
	4-23-1992	4-30-1992	58.500	0.317	9.279	39.333	-0.621	0.0504	#N/A	0.1350
	4-30-1992	5-7-1992	9.453	0.158	1.788	5.440	0.419	0.0591	#N/A	0.1198
	5-7-1992	5-14-1992	30.369	0.281	5.322	19.745	0.352	0.0876	#N/A	0.1161
	5-14-1992	5-21-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-21-1992	5-28-1992	3.930	0.267	1.509	2.513	0.876	0.1039	#N/A	0.1503
	5-28-1992	6-4-1992	10.656	0.186	2.403	5.875	0.925	0.1090	#N/A	0.1306
	6-4-1992	6-11-1992	20.007	0.316	3.702	11.283	0.862	0.2020	#N/A	0.1697
	6-11-1992	6-18-1992	15.057	0.258	2.993	8.613	0.825	0.1714	#N/A	0.1868
	6-18-1992	6-25-1992	10.700	0.270	2.400	7.855	0.423	0.1004	#N/A	0.1334
	6-25-1992	7-2-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-2-1992	7-9-1992	24.678	0.638	5.311	19.145	0.492	0.1639	#N/A	0.2229
	7-9-1992	7-16-1992	9.440	0.141	1.950	5.296	0.617	0.0804	#N/A	0.1194
	7-16-1992	7-23-1992	33.073	0.153	3.619	23.481	-2.292	0.0469	#N/A	0.2169
	7-23-1992	7-30-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-30-1992	8-6-1992	74.496	0.381	7.014	61.147	-8.377	0.3631	#N/A	1.7007
	8-6-1992	8-13-1992	8.310	0.173	1.774	4.851	0.553	0.1559	#N/A	0.1310
	8-13-1992	8-20-1992	17.170	0.143	2.270	12.245	-0.812	0.1234	#N/A	0.1129
	8-20-1992	8-27-1992	9.753	0.312	2.043	5.598	0.634	0.1034	#N/A	0.1499
	8-27-1992	9-3-1992	13.356	0.251	2.644	9.736	0.194	0.0936	#N/A	0.1493
	9-3-1992	9-10-1992	19.875	0.184	3.117	10.678	0.429	0.0961	#N/A	0.1189
	9-10-1992	9-17-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-17-1992	9-24-1992	13.063	0.107	1.969	7.135	0.173	0.0128	#N/A	0.1851
	9-24-1992	10-1-1992	40.181	0.204	5.755	27.138	-1.075	0.0112	#N/A	0.0422
	10-1-1992	10-8-1992	39.706	0.173	6.515	29.242	-0.845	0.0110	#N/A	0.0689
	10-8-1992	10-15-1992	24.984	0.300	4.587	18.950	-0.183	0.0104	#N/A	0.1346
	10-15-1992	10-22-1992	40.142	0.269	6.653	30.924	-1.130	0.0082	#N/A	0.1043
	10-22-1992	10-29-1992	35.867	0.083	5.499	25.571	-0.937	0.0043	#N/A	0.1272
	10-29-1992	11-5-1992	33.041	0.331	6.275	23.118	0.457	0.0055	#N/A	0.1846
	11-5-1992	11-12-1992	53.569	0.084	8.579	38.662	-1.153	0.0009	#N/A	0.0354
	11-12-1992	11-19-1992	31.918	0.088	4.758	23.337	-1.116	0.0024	#N/A	0.0596
	11-19-1992	11-26-1992	34.528	0.071	5.298	25.455	-1.109	0.0019	#N/A	0.0326
	11-26-1992	12-3-1992	40.840	0.036	5.935	30.479	-1.737	0.0008	#N/A	-0.0091
	12-3-1992	12-10-1992	35.390	0.052	5.349	23.639	-0.601	0.0016	#N/A	0.0206
	12-10-1992	12-17-1992	48.832	0.167	7.431	33.252	-0.939	0.0016	#N/A	0.0414
	12-17-1992	12-24-1992	21.112	0.022	3.114	11.655	0.180	0.0011	#N/A	-0.0302
	12-24-1992	12-31-1992	50.476	0.109	7.751	35.839	-1.270	0.0015	#N/A	0.0145
	12-31-1992	1-7-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-7-1993	1-14-1993	56.762	0.074	8.695	40.067	-1.390	0.0014	#N/A	0.0103
	1-14-1993	1-21-1993	10.552	0.101	2.695	6.210	1.132	0.0009	#N/A	0.0751
	1-21-1993	1-28-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-28-1993	2-4-1993	44.915	0.123	7.119	31.636	-0.844	0.0017	#N/A	0.0455
	2-4-1993	2-11-1993	40.836	0.063	5.913	22.139	0.341	0.0048	#N/A	-0.0600
	2-11-1993	2-18-1993	29.973	0.090	4.216	21.224	-1.126	0.0013	#N/A	0.0514
	2-18-1993	2-25-1993	23.654	0.059	3.518	13.050	0.233	0.0024	#N/A	0.0364
	2-25-1993	3-4-1993	31.133	0.108	5.564	22.746	-0.161	0.0013	#N/A	0.1245
	3-4-1993	3-11-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-11-1993	3-18-1993	50.811	0.216	8.070	33.318	-0.316	0.0008	#N/A	0.0573
	3-18-1993	3-25-1993	12.854	0.417	5.122	7.791	3.161	0.0068	#N/A	0.3123
	3-25-1993	4-1-1993	28.578	0.046	4.109	15.843	0.121	0.0042	#N/A	0.0694
	4-1-1993	4-8-1993	9.757	0.107	1.602	5.506	0.216	0.0062	#N/A	0.0496
	4-8-1993	4-15-1993	13.025	0.211	3.132	5.999	1.622	0.0079	#N/A	0.1048
	4-15-1993	4-22-1993	17.309	0.386	3.688	10.367	1.078	0.0106	#N/A	0.2478
	4-22-1993	4-29-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-29-1993	5-6-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-6-1993	5-13-1993	21.290	0.209	4.060	15.636	0.124	0.0470	#N/A	0.1097
	5-13-1993	5-20-1993	16.562	0.222	3.102	11.053	0.320	0.1334	#N/A	0.0775
	5-20-1993	5-27-1993	11.929	0.680	3.772	7.586	1.862	0.3212	#N/A	0.3648
	5-27-1993	6-3-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-3-1993	6-10-1993	9.548	0.405	2.997	5.642	1.576	0.1401	#N/A	0.2632
	6-10-1993	6-17-1993	14.983	0.287	3.242	8.870	1.009	0.1530	#N/A	0.2793
